No;Kode Dealer;Nama Dealer;Kode Main Dealer
251;12586;JAYA ABADI II;G02
252;14094;ANUGRAH MOTOR;G02
253;8201;AGUNG JAYA MOTOR;G02
254;6757;HONDA TAMAN KOPO;J10
255;10654;DICKY MOTOR;B3Z
256;9316;SUBUR;I3Z
257;18579;CV LUHUR JAYA SENTOSA;I3Z
258;12657;KOSAMBI JAYA MOTOR;I3Z
259;1538;TAWANGSARI MOTOR;M3Z
260;7614;YOTA MOTOR, UD;M2Z
261;7463;JAYAWIJAYA MOTOR;W01
262;9281;PT FAJAR RIA PIT LANE;J10
263;7633;SARANA MOTOR;W01
264;1150;FAJAR TANI MOTOR;W01
265;4040;INDAH MOTOR;J10
266;9061;BENJOYO SHENDY, CV;J10
267;17635;FAHYA JAYA MOTOR;J10
268;13036;TUNAS INTI 2;J10
269;1977;YJ KARISMA;D2Z
270;6853;GULAN MOTOR;J10
271;13396;KOFA MANDIRI 2;J10
272;16772;JAYA ABADI MOTOR;K0Z
273;2132;HARI MOTOR;M2Z
274;7849;ELSA MOTOR;L01
275;11743;MUNJUL MOTOR;J10
276;1435;TRESNO MOTOR;L01
277;284;DWI KARYA SWADAYA;B10
278;3946;WAHANAARTHA RITELINDO (SUNTER);I3Z
279;12790;DAYA ANUGRAH MANDIRI;J10
280;2812;JAYA RAYA MOTOR, CV;J10
281;1941;PUTRA JASA SERVICE;D2Z
282;18040;RAIHAN MOTOR;J10
283;15685;CATUR PUTRA JAYA;J10
284;13764;PT DAYA ANUGRAH MANDIRI;J10
285;18301;CATUR PUTRA JAYA;J10
286;10918;PERDANA MOTOR;N02
287;10372;BERKAH JAYA;J10
288;2719;DMI;D2Z
289;17819;ISABELLA MOTOR;J10
290;2152;RESMI MOTOR;L01
291;16440;ADIAZ MOTOR;L01
292;17519;CV ANUGERAHUTAMA;L01
293;1903;BUDI UTAMA MOTOR;M2Z
294;9268;PAHLAWAN MOTOR;J10
295;15898;MULYA MOTOR;J10
296;2770;BINTANG TIMUR SUKSESTAMA MOTOR;J10
297;8785;TERANG MOTOR;J10
298;13777;CITRA NUGRAHA MOTOR;J10
299;8934;MANSYUR MOTOR;J10
300;6945; CV DARMA PERDANA;J10
301;15895;MARKONI MANDIRIPERKASA;J10
302;9921;CV. BENJOYO SHENDY 2;J10
303;690;CV SPECTRA JAYA NIAGA;K0Z
304;115;INTI MOTOR;L01
305;12112;UD. UTAMA ABADI MOTOR;L01
306;18075;BINTANG UTAMA MOTOR;L01
307;9029;WONOKROMO HONDA SERVICE;L01
308;1204;GAJAH MADA MOTOR;L01
309;8679;BUNDA MULIA MOTOR;C10
310;16675;MITRA UTAMA;K0Z
311;8279;UD INDOTAMA;K0Z
312;11226;WALI MOTOR 4;K0Z
313;7660;CV NGUDI LUHUR;K0Z
314;1271;PADMANABA MOTOR;K0Z
315;449;SAMUDRA, CV;I3Z
316;17680;PT. ADI MAKMUR ANUGERAH NIRWANA (AMAN MOTOR);I3Z
317;17681;JUARA MOTOR;I3Z
318;1194;SARTIKA;I3Z
319;18056;SOLEAR MOTOR;I3Z
320;955;MITRA PERDANA;I3Z
321;9261;MURIA MOTOR;K0Z
322;11570;BUDI MOTOR;H2Z
323;1701;PRIMA JAYA MOTOR;H2Z
324;8689;CV. LARIS MOTOR;C10
325;2570;KOTALAMA JAYA MOTOR;M3Z
326;2211;ENGGAL MOTOR;M3Z
327;15230;PT CITRA USAHA NUSANTARA;M2Z
328;2043;KARUNIA MOTOR;L01
329;1460;AHASS GONO MOTOR III;M2Z
330;16306;DWI KARYA SWAKARSA;B10
331;2649;OSH MOTOR;L01
332;16178;SHINTA ABADI MOTOR;L01
333;18132;CV SHINTA MOTOR SEJAHTERA;L01
334;2213;CITRA ABADI;M3Z
335;18782;BLITAR JAYA;M3Z
336;6799;UD. UNGGUL KARYA BAKTI;M2Z
337;13103;KURNIAWAN MOTOR;M2Z
338;18130;ZAZA MOTOR;M2Z
339;18057;CV. AMARIN MOTOR;M2Z
340;18500;HONDA PARANG;M2Z
341;15912;AGUNG KUSUMA;K0Z
342;477;SERASI SERVIS;B10
343;541;TOKO MEKAR KURNIA KOMPO;L01
344;9630;CV KOMPO MOTOR;L01
345;17822;AHASS SINGOSARI MOTOR;M3Z
346;13688;RAIHAN MOTOR;M2Z
347;663;BENTENG MOTOR;M2Z
348;15443;ATHA MOTOR;M2Z
349;17669;DICKY JAYA MOTOR;M2Z
350;8109;PERDANA TIGA MOTOR;M2Z
351;8212;SAWANGAN MOTOR;J10
352;7582;ANDALAN JAYA MOTOR;L01
353;17577;JEMBAR BARU;J10
354;8048;FIKHAS GUNUNG PUTRI, PT;J10
355;10147;MUSTIKA MOTOR;J10
356;12734;PT. METAGUNA INNOVA;J10
357;1684;SUKSES GROUP;J10
358;17873;SAMPURNA KIAN JAYA;J10
359;2722;SAHABAT KARIB UTAMA;J10
360;7501;DELIMA MOTOR;J10
361;13544;DAYA ANUGRAH MANDIRI;I3Z
362;18780;CV BERSAMA INSAN MAJU SEJAHTERA;G01
363;7686;CATUR SAKA MANDIRI;J10
364;7552;TRI JAYA MOTOR;E20
365;6908;MARK'S MOTOR;U10
366;18704;CV NIAGA GLOBAL MOTOR;U10
367;13209;STEDDY MOTOR;U10
368;12119;STAR MOTOR;C10
369;8620;ADI PRIMA MOTOR;T10
370;2696;FALAH MANDIRI MOTOR;M2Z
371;7282;ANDRILLA MOTOR;M2Z
372;1141;SINAR JAYA SERVICE;D2Z
373;183;ADAM MOTOR;M2Z
374;1794;UD. PRATAMA;M2Z
375;1512;JATI INDAH;M2Z
376;9459;MENTARI MOTOR;J10
377;2794;RASTRA MOTOR;J10
378;783;PRIMADELTA STAR LESTARI III;J20
379;787;PT MITRA PANGLIMA SEJAHTERA II;J20
380;16810;UD.RAJAWALI MOTOR;N01
381;17456;CV ANUGERAH UTAMA;L01
382;7121;HASIL KARYA MOTOR;L01
383;16701;PAKARTI JAYA;L01
384;16895;PRIMA MANDIRI;J10
385;7835;SRI WIBOWO II;L01
386;16463;MLATI JAYA;L01
387;15478;BENGKEL BERKAT UTAMA MOTOR;L01
388;209;MENARA AGUNG SERVICE;C10
389;18716;CV BINTANG MAS TARUSAN;C10
390;18538;JATI JAYA MOTOR;K0Z
391;682;KODYA MOTOR I;C10
392;10234;CV METRO MOTOR NABIRE;Z11
393;11035;CV SINAR PAGI;Z11
394;545;CV INDAH MOTOR;L01
395;8949;TEAM ARO JAYA MOTOR;D2Z
396;933;SAHABAT MOTOR;G01
397;15602;WINGS MOTOR;N01
398;18015;PT DWI JATI AGUNG;N01
399;8723;DUMAI JAYA SERVICE;D2Z
400;1902;WING SERVICE;D2Z
401;18722;KEMBAYAN SPORT MOTOR;Q01
402;18781;PUTRA NANJUNG;J10
403;8718;ZAHRA SERVICE;B3Z
404;9239;NISA MOTOR, CV;N02
405;2660;GRIYA MOTOR;J10
406;14012;CV. SIRKUIT MOTOR;J10
407;17307;SELAMAT LESTARI MANDIRI;J10
408;13311;BINTANG MOTOR;J10
409;10901;DELIMA JAYA;J10
410;17613;PD PACIFIC MOTOR;J10
411;235;SINAR MULIA;M3Z
412;17195;CV.SURYA BANGKIT MOTOR;M3Z
413;644;TAMTAMA MOTOR;M2Z
414;18572;BALAS MOTOR;M2Z
415;17668;CV. RAMAI PERDANA MOTOR;M2Z
416;12311;ZAKY MOTOR;D2Z
417;15098;DAYA ANUGERAH MANDIRI;I3Z
418;1263;ABADI MAKMUR;I3Z
419;591;GONO MOTOR I;M2Z
420;12789;DAYA ANUGRAH MANDIRI;J10
421;8738;PERDANA MOTOR;D2Z
422;16438;CAHAYA MOTOR;I3Z
423;2717;KENCANA;I3Z
424;6767;ARDIAN III;I3Z
425;18811;SENTRATAMA MOTOR;Q01
426;16680;PUTRA JAYA;J10
427;17016;SENTRA AUTO MOTOR;J10
428;17831;SELAMET MITRA MOTOR;J10
429;2792;MARGA UTAMA, CV;J10
430;6383;SILIWANGI MOTOR 3;J10
431;9461;MAKMUR MOTOR, PT;J10
432;6981;INTI MOTOR;J10
433;11342;FAJAR MOTOR;J10
434;2506;CARINGIN MOTOR;J10
435;15523;TOKO SEJAHTERA MOTOR;J10
436;15935;ALPHA OMEGA NUSA SEJAHTERA;J10
437;13615;PT METAGUNA INNOVA;J10
438;1288;STAR MOTOR;J10
